date,camera,insect_name,og_insect_name
150523,CAM7,carabidae,bembidion lampros
150523,CAM9,carabidae,notiophilus biguttatus
150523,HF2F,carabidae,bembidion lunulatum
160523,CAM7,carabidae,bembidion lampros
160523,HF2F,carabidae,notiophilus biguttatus
160523,LF2E,carabidae,bembidion lunulatum
170523,CAM9,carabidae,nebria brevicollis
170523,LS3E,carabidae,amara aenea
180523,CAM7,staphylinidae,philonthus cognatus
180523,LS3E,carabidae,amara
180523,LF2E,carabidae,amara
220523,CAM9,staphylinidae,philonthus cognatus
220523,HF2F,carabidae,amara aenea
220523,LF2E,carabidae,amara ovata
230523,CAM4,carabidae,loricera pilicornis
230523,CAM8,staphylinidae,xantholinus linearis
240523,HF2G,carabidae,acupalpus meridianus
240523,CAM8,araneae,trochosa
250523,CAM4,carabidae,poecilus cupreus
250523,HF2F,araneae,pardosa
250523,HF2G,carabidae,poecilus cupreus
250523,CAM8,carabidae,pterostichus madidus
300523,CAM4,carabidae,nebria salina
300523,HF2F,staphylinidae,achenium depressum
300523,HF2G,carabidae,anchomenus dorsalis
300523,CAM8,carabidae,acupalpus meridianus
300523,LF2E,carabidae,pterostichus strenuus
310523,CAM4,araneae,pardosa
310523,HF2F,carabidae,poecilus cupreus
310523,HF2G,carabidae,pterostichus madidus
310523,CAM8,carabidae,poecilus cupreus
310523,CAM9,carabidae,bembidion obtrissum
010623,CAM4,staphylinidae,achenium depressum
010623,HF2F,carabidae,nebria salina
010623,HF2G,carabidae,notiophilus biguttatus
020623,CAM4,carabidae,bembidion lampros
020623,HF2F,carabidae,poecilus cupreus
020623,HF2G,carabidae,nebria brevicollis
020623,CAM8,carabidae,asaphidion flavipes
020623,CAM9,carabidae,amara ovata
030623,CAM4,carabidae,harpalus affinis
030623,HF2F,araneae,trochosa ruricola
030623,HF2G,araneae,trochosa
030623,CAM8,carabidae,notiophilus biguttatus
030623,CAM9,carabidae,amara aenea
040623,CAM4,carabidae,poecilus cupreus
040623,HF2F,carabidae,bembidion lampros
040623,HF2G,carabidae,asaphidion flavipes
040623,CAM8,carabidae,nebria brevicollis
040623,LF2E,carabidae,amara aenea
050623,CAM4,araneae,trochosa ruricola
050623,HF2F,carabidae,harpalus affinis
050623,HF2G,carabidae,notiophilus biguttatus
050623,CAM8,carabidae,poecilus cupreus
050623,LF2E,carabidae,amara ovata
060623,CAM4,carabidae,pterostichus nigrita
060623,HF2F,carabidae,nebria salina
060623,HF2G,carabidae,amara similata
060623,CAM9,carabidae,amara ovata
070623,CAM4,carabidae,nebria salina
070623,HF2F,carabidae,nebria brevicollis
070623,HF2G,carabidae,poecilus cupreus
070623,CAM8,myriapoda,polydesmus
070623,CAM9,diptera-hymenoptera,lasius
080623,CAM4,carabidae,nebria salina
080623,HF2F,carabidae,pterostichus nigrita
080623,HF2G,araneae,pardosa
080623,CAM8,carabidae,amara similata
080623,LF2E,araneae,pardosa
090623,CAM4,carabidae,nebria brevicollis
090623,HF2F,carabidae,nebria salina
090623,HF2G,myriapoda,polydesmus
090623,CAM8,carabidae,harpalus rufipes
100623,CAM4,carabidae,notiophilus biguttatus
100623,HF2G,carabidae,harpalus rufipes
100623,CAM8,araneae,pardosa
100623,CAM9,araneae,pardosa
110623,CAM4,carabidae,bembidion lampros
110623,HF2F,isopoda,armadillidium
110623,HF2G,carabidae,harpalus rufipes
110623,CAM8,carabidae,anchomenus dorsalis
120623,CAM4,carabidae,bembidion lampros
120623,HF2F,carabidae,notiophilus biguttatus
120623,HF2G,cantharidae,cantharis rustica
120623,CAM8,carabidae,harpalus rufipes
120623,LF2E,staphylinidae,philonthus laminatus
130623,CAM4,isopoda,armadillidium
130623,HF2F,carabidae,bembidion lampros
130623,HF2G,carabidae,anchomenus dorsalis
130623,CAM8,carabidae,harpalus rufipes
140623,CAM4,carabidae,amara convexior
140623,HF2F,carabidae,bembidion lampros
