insect.code,scientificName,Comments
1,Nebria.salina,
3,Poecilus.cupreus,
5,Xantholinus,
6,Pardosa,
7,Platybunus.triangularis,
4,Notophilus.palustris,
8,Xysticus.cristatus,
9,Notophilus.biguttatus,
10,Lycosidae,
11,Pardosa,
12,Linyphiidae,
13,Bembidion.lampros,
15,Bembidion.lampros,
16,Notophilus.biguttatus,
19,Bembidion.lunulatum,
20,Bembidion.lunulatum,
21,Notophilus.biguttatus,
25,Nebria.brevicolis,
27,Nebria.brevicolis,
28,Anchomenus.dorsalis,
29,Amara,
NA,Trochosa.ruricola,supposed to be 30 but duplicated
30,Amara.aenea,
31,NA,
32,Philonthus.cognatus,
33,Philonthus.cognatus,
33.B,Poecilus.cupreus,
34.A,Pterostichus.madidus,
34.B,Harpalus.affinis,
35,Amara.ovata,
36,Ocypus.olens,
37,Amara,
39,Anchomenus.dorsalis,
40,Loricera.pilicornis,
41,Philanthus,
42,Stenus.clavicornis,
43,Clivina.fossor,
44,Stenus,
45,Xantholinus.linearis,
46,Acupalpus.meridianus,
47,Anchomenus.dorsalis,
48,Pardosa,
49,Philanthus,
50,Thomisidae,
51,Pterostichus.madidus,
52,Trochosa,
53,Poecilus.cupreus,
54,Nebria.salina,
55,Poecilus.cupreus,
56,Achenium.depressum,
56.B,Euophrys.frontalis,
57,Pardosa,
58,Pterostichus.strenus,
59,Bembidion.obtrissum,
60,Notophilus.biguttatus,
61,Bembidion,not sure
62,Trochosa,not sure
63,Pardosa,not sure
64,Harpalus.affinis,
65,Bembidion.lampros,
66,Trochosa.ruricola,
67,Poecilus.cupreus,
68,Nebria.brevicolis,
69,Notophilus.biguttatus,
70,Asaphidion.flavipes,
72,Amara.ovata,
73,Asaphidion,not sure
74,Amara.aenea,
75,Poecilus.cupreus,
76,Nebria.salina,
77,Pterostichus.nigrita,
78,Nebria.brevicolis,
79,Nebria.salina,
80,Amara.similata,
81,Polydesmus,
82,Pardosa,
83,Lasius,
84,Pardosa,
85,Harpalus.rufipes,
86,Bembidion.lampros,
87,Notophilus.biguttatus,
88,Armadillidium,
89,Gnaphasidae,
90,Harpalus.rufipes,
91,Coccinella.septempunctata,
92,Bembidion.lampros,
93,Anchomenus.dorsalis,
94,Cantharis.rustica,
95,Philonthus.laminatus,
96,Stomis.punicatus,
97,Amara.convexior,
98,Harpalus.rufipes,
99,Philonthus.cognatus,
100,Anotylus,
101,Micaria.pulicaria,
102,Aleochara,
103,Xysticus.cristatus,
104,Amara.similata,probably hybrid sp
105,Neuroptera.larva,
106,Cantharis.flavilabris,
107,Loricera.pilicornis,
108,Amara.ritida,listed as scarce sp
109,Small.carabid,not identified
110,Lycosidae,not identified
111,Staphylinidae.larva,
112,Pterostichus.madidus,var. concinnus
113,Philonthus.cognatus,
114,Coccinella.septempunctata,
115,Drassyllus.pusillus,
116,Formicidae,not identified
117,Pterostichus.strenus,
118,Amara.ovata,not identified
119,Staphylinidae.larva,
120,Staphylinidae.larva,
121,Microlestes.minutulus,
122,Formicidae,probably Myrmica sp
123,Tachinus,
124,Aleocharinae,
125,Philonthus.cognatus,
126,Cantharis.lateralis,
127,Trechus.quadristriatus,probably quadristriatus
128,staphylinidae,
129,Polydesmus,
130,Cylindroiulus,
131,staphylinidae,probably Tachyporus
132,Anchomenus.dorsalis,
133,Armadillidium,
134,Staphylinidae.larva,
136,Lepthyphantes,
137,Linyphiidae,
138,Lepthyphantes,
139,Tachinus,
140,staphylinidae,new
141,Myrmica,
142,Harpalus.rufipes,
143,Ocypus.olens,
144,Philoscia.muscorum,
145,Loricera.pilicornis,
146,Psylloides.chrysocephala,multiple
147,Brassicogethes,multiple
148,Chrysoperla.carnea,multiple
149,Tachinus,
150,Amara.ovata,
151,larva,
152,Loricera.pilicornis,
153,Hoverfly.larva,
154,Ischnosoma,
155,Larnycetes.emarginatus,check name
156,Armadillidium,
157,Aranae,
158,staphylinidae,
159,Acupalpus.meridianus,
160,Pterostichus.niger,
161,Bembidion.lampros,
162,Harpalus.affinis,
163,Agonum.muelleri,
164,Megalepthyphantes,
165,Neottiura.binaculata,
166,Pterostichus.niger,
167,Armadillidium,
168,Pterostichus.strenus,
169,staphylinidae,
170,Xantholinus,
171,Armadillidium,
172,Bembidion.properans,
173,Ocypus.olens,
174,Polydesmus,
175,Stomis.punicatus,
176,Brachinus.crepitans,
177,Carabid.larva,
178,Carabid.larva,
179,Loricera.pilicornis.larva,
180,Armadillidium,
181,Aleocharinae,Ilyobates?
182,Trechus.quadristriatus,
183,Phalangiidae,
184,Ocypus.olens,
185,Forficula.auricularia.male,
186,Forficula.auricularia.female,
187,Trechus.quadristriatus,
188,Trechus.quadristriatus,
189,Brachinus.crepitans,
190,Ocypus.olens,
191,Tachinus,
192,Tachinus,
193,Linyphiidae,
194,Megalepthyphantes,
195,Linyphiidae,
196,Carabid.larva,
197,Carabidae,Microlestes.minutulus?
198,Carabid.larva,
199,Carabid.larva,
200,Ocypus.olens,
201,Aleochara,
202,Aleocharinae,
203,Neottiura.binaculata,
204,Carabid.larva,
205,Clivina.fossor,
206,Aleocharinae,
207,Tasigus.ater,
208,Harpalus.affinis,
